state,action,q_value
2304,0,0.7
2304,1,0.0
2304,2,0.0
2304,3,0.0
2312,0,2.9480873332486635
2312,1,1.5841264656163532
2312,2,2.5137350542863706
2312,3,0.0
264,0,-0.7
264,1,-0.7
264,2,6.1031982001414455
264,3,0.0
776,0,-0.9099999999999999
776,1,-0.9099999999999999
776,2,-0.7
776,3,3.2576736182050112
772,0,-0.7
772,1,0.0
772,2,8.996055761812961
772,3,2.6236450531545943
770,0,5.483990331502696
770,1,1.5128897666425523
770,2,11.003160004135804
770,3,2.6463072688865026
769,0,2.1478840867064974
769,1,9.262734252842051
769,2,0.7
769,3,0.0
258,0,-0.7
258,1,-0.4711498056146876
258,2,-0.7
258,3,17.341214431254578
2306,0,-0.7
2306,1,0.0
2306,2,0.0
2306,3,2.1535181766875002
2305,0,0.0
2305,1,5.565987047843254
2305,2,-0.2835
2305,3,1.9840641624999997
2049,0,7.15066052522589
2049,1,0.0
2049,2,0.0
2049,3,0.0
2056,0,15.088866593938395
2056,1,-0.011145547875000028
2056,2,0.0
2056,3,2.5036297060991535
1544,0,1.1849354957489309
1544,1,5.485487240192253
1544,2,1.7046245959378195
1544,3,3.0872051206108138
1540,0,2.9890283752795606
1540,1,2.4037144739468888
1540,2,1.7216222886402694
1540,3,6.35831138873193
1538,0,1.8430331766874997
1538,1,1.7867584836381087
1538,2,5.767219016522679
1538,3,2.1962117236285543
1537,0,0.3887177529374998
1537,1,0.5323805887793965
1537,2,4.4615404083158126
1537,3,1.2011825024946028
516,0,-0.7
516,1,0.0
516,2,0.7
516,3,5.4929601173381295
520,0,-0.7
520,1,0.9938221115230881
520,2,-0.7
520,3,0.0
513,0,-0.6974905875
513,1,1.0334146883263289
513,2,12.556177979416171
513,3,-0.4687129370021876
1026,0,-0.7
1026,1,2.813710228161817
1026,2,0.0
1026,3,-0.4947365140088158
3074,0,-0.7
3074,1,6.287445809449816
3074,2,0.0
3074,3,0.0
3076,0,0.7
3076,1,5.874568569006674
3076,2,0.0
3076,3,3.445427289563823
3080,0,3.3991482658850205
3080,1,8.660631660357904
3080,2,3.105354195804656
3080,3,0.0
1032,0,1.307583074673101
1032,1,0.0
1032,2,0.0
1032,3,-0.7
1025,0,1.2845073787306758
1025,1,0.0
1025,2,0.0
1025,3,0.0
514,0,0.0
514,1,0.0
514,2,10.871085770243557
514,3,2.3302121675494156
3073,0,6.012845857398606
3073,1,0.0
3073,2,0.0
3073,3,-0.7
2052,0,11.944036503169416
2052,1,0.0
2052,2,0.0
2052,3,-0.7
8,0,0.0
8,1,0.0
8,2,-0.7
8,3,0.0
1668,0,-0.7
1668,1,0.0
1668,2,0.0
1668,3,0.0
1560,0,-0.2977013635477255
1560,1,2.675751483388172
1560,2,-0.7
1560,3,0.0
2308,0,4.921016964294665
2308,1,0.0
2308,2,0.0
2308,3,0.0
2328,0,1.6412233901118125
2328,1,-0.2835
2328,2,0.0
2328,3,0.0
260,0,0.5000088280687497
260,1,0.0
260,2,0.0
260,3,0.0
836,0,-0.7
836,1,0.0
836,2,0.0
836,3,0.0
840,0,-0.7
840,1,-70.0
840,2,-0.7
840,3,7.659610797086158
1556,0,0.0
1556,1,1.345416535211432
1556,2,0.0
1556,3,0.0
1028,0,-0.059362630215116674
1028,1,0.0
1028,2,0.0
1028,3,0.0
2338,0,-70.0
2338,1,0.0
2338,2,0.0
2338,3,0.0
898,0,1.4884045550340872
898,1,0.0
898,2,0.0
898,3,0.0
2372,0,0.7
2372,1,0.0
2372,2,0.0
2372,3,0.0
2376,0,0.7
2376,1,-70.0
2376,2,1.3219133045125
2376,3,0.0
3092,0,-0.7
3092,1,3.371857861507074
3092,2,0.0
3092,3,0.0
3096,0,1.26616525
3096,1,4.092098093423947
3096,2,0.0
3096,3,0.0
1048,0,0.37927122160187904
1048,1,0.0
1048,2,0.0
1048,3,0.0
1688,0,-70.0
1688,1,0.7
1688,2,0.0
1688,3,0.0
3128,0,0.05336832374999995
3128,1,0.0
3128,2,0.0
3128,3,0.0
257,0,7.523763034967172
257,1,0.0
257,2,0.0
257,3,0.0
2433,0,2.0214024254374996
2433,1,0.0
2433,2,0.0
2433,3,0.0
1554,0,2.5774590626993383
1554,1,0.0
1554,2,0.0
1554,3,0.0
529,0,-0.7
529,1,-70.0
529,2,0.7
529,3,0.0
664,0,-70.0
664,1,0.0
664,2,0.0
664,3,0.0
2104,0,-0.7
2104,1,0.0
2104,2,0.0
2104,3,0.0
2072,0,10.017863788037975
2072,1,0.0
2072,2,0.0
2072,3,0.0
644,0,-70.0
644,1,0.0
644,2,0.0
644,3,0.0
2088,0,5.511023216765659
2088,1,0.0
2088,2,0.0
2088,3,0.0
580,0,-0.7
580,1,-70.0
580,2,0.7
580,3,0.0
584,0,-0.7
584,1,-70.0
584,2,0.0
584,3,0.0
578,0,1.3264999999999998
578,1,0.0
578,2,7.446780249999999
578,3,0.0
2370,0,-0.7
2370,1,-70.0
2370,2,0.0
2370,3,0.0
2402,0,-70.0
2402,1,0.0
2402,2,0.0
2402,3,0.0
962,0,-0.7
962,1,0.0
962,2,0.0
962,3,0.0
834,0,0.7
834,1,0.0
834,2,2.0144935238225967
834,3,0.0
322,0,-0.7
322,1,0.0
322,2,0.0
322,3,0.0
833,0,-0.7
833,1,0.0
833,2,0.0
833,3,0.0
530,0,8.340430827806967
530,1,0.0
530,2,0.0
530,3,0.0
3090,0,-0.7
3090,1,7.476823315279127
3090,2,0.0
3090,3,0.0
1672,0,-70.0
1672,1,0.0
1672,2,0.0
1672,3,0.0
3112,0,6.136760883120386
3112,1,0.0
3112,2,0.0
3112,3,0.0
392,0,-70.0
392,1,-0.7
392,2,-70.0
392,3,0.9099999999999999
2344,0,1.1513154656802802
2344,1,0.0
2344,2,0.0
2344,3,0.0
388,0,-70.0
388,1,0.0
388,2,0.0
388,3,0.0
385,0,-70.0
385,1,7.972058954846219
385,2,0.0
385,3,0.0
1665,0,-70.0
1665,1,0.0
1665,2,0.0
1665,3,0.0
2116,0,0.7
2116,1,0.0
2116,2,0.0
2116,3,0.0
2120,0,9.205520342129343
2120,1,0.0
2120,2,0.0
2120,3,0.0
328,0,0.7879122676828281
328,1,0.0
328,2,0.0
328,3,0.0
